parameter_id,parameter_name,parameter_description,chapter_id,chapter_citation,value,same_value_language_ids,value_language_count,language_count_total,count_ratio
88A,Order of Demonstrative and Noun,,88,Matthew S. Dryer. 2013. Order of Demonstrative and Noun. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/88),2,aab aar aba abu ace acn adg adi adz aeg agb agh agm agt ajg akh akn alk all aln aly ama ame aml amo amp amq amx anc ane ang anj ano ao aoj api aro ata au avk avo awe awi ayw baa bab bag bai baj bak bas baw bbu bch bco bdu bdw bfi bgr bgs bid bik bin bir bka bkr ble blx blz bmb bni bol bra bre brf bri brp bry bse bsh bsi bsq bto bud bug buj bum buu bvi bwc ccm cct cem chh chj chr cic cle cme cnl coe cpl crn cro cso cya dag dan day ddj dds deg dga dgb dgo dha did die dim dio dma dng dni dok don dre dum dun edo efi ega egn eno erk err ewe ewo fas fij foe fon fua fut fye gae gbs gel gim gla gln gmw gmz gnd gnn goa goe gok grb grf gug gul gwa gwo hal ham han hat heb hem hid hmo hna hnd hoa huc hya iaa iau iba ido ifm igb ige ila ind inn iri irq irr isa izi jab jak jar jmo jms juh juk kad kan kar kau kba kbw kch kel ken ker kfe kgr khd khm khn kik kir kis kkv klq klv kmb kmj kmo kmp kmu kmw kmz knc kni knk knm knr knz kob koe kom kon kos kpe kpw kqq krb kro krr kse ksg ksn kta ktc kte ktl ktu kuu kwa kwn kwy kyk kyl kyo laa lab lah lal lan lao lda ldo leb lel len les let lew lgi lgt lgu lho lic lis llm lmh lmp lnd lon lot lou lug luo luv luy mab mad mae maj mar maw may mbe mbi mbl mbm mbr mby mda mde mdg mdo mdw mea mei mey mgo mgq mgu min mka mkj mkq mku mkz mlg mlk mlm mlu mmb mmv mna mng mnm mnt mnz mof mok mon mor mou mpa mpo mpt mpu mrg mrl mro msm msn mtb mud mum mup mus mwo mxc mxe mxj mxo mxy myg myn nab nak nal nam nar nbr ncm ndb nde ndi ndo ndr ndt ndu ndy neh ney ngb ngg ngk ngm ngo ngt ngu ngz nia nif nke nkn nko nnd nne nng non noo nsg ntj nua nue nun nup nus nyi nym nza obg obo olo ora orh ori oro orw ory otr pat pit plg plh pnu poh pok prh psw pul qia rag rap ras rga rny ron rot rov rum run sah sak san sea sed see sem ser ses sgb sgu shn sht sim sio sis sko sku sle slp sml so sob son sre sro sti sud sue sul sun swa tab taf tai tak tat tbo tbt tbu tdr ten teo ter tes tet tgh tgk tgn tgo tha thy tib tid tik tim tin tiv tja tke tlo tlp tmm tmn tmo tmr tna tne tng tnk tno toz tpr trb tri tsi tsk ttd tte ttn tuk tvl uld uli ung url urt usa vai vie vif vnm wah wal war wat wch wel wlf wma wmu wn woi wol wom wsk wwa xar xbi xoo yal yao yap yay yel yi yim yiw yns yor yul yus zag zai zap zar zya zzo,562,76475,0.0073488066
118A,Predicative Adjectives,,118,Leon Stassen. 2013. Predicative Adjectives. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/118),3,acl acm akn ala arc arp bab bam bar bej bln bri brj brs bui cah che cil cmh cop cso dab dgb diz dmi dua ewe frd gol grn grw gud hmr hui igb irq iwa jpn kbl kho khs kku knm knr kor kpe ksm lad lda lep lnd luo maa mao map mau maw mbt mlk mnm moo mrg mtu mun mxp myi nar nbh ndi ngl nht nko nue nup orh otm pms pop pwn rti shl shn som sor sup swa tah tbu tep tne tsh tup ung vai wch wic wrp yim zai zan zar zul,103,76475,0.0013468454
81A,Order of Subject; Object and Verb,,81,Matthew S. Dryer. 2013. Order of Subject; Object and Verb. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/81),2,aab abi abu acg acl acm adi adz aeg agb agh aja akn alb alk aln ama aml amq anc ane anu aoj apu ara arg ari arj aro arp arq au avk ayi ayr ayw bab bae baf bag bai bak bar bas bbl bdu ber bgo bgr bgs bgz bid bii bik bir bka bku ble blz bmb bni bnk bnn bob bol bra bre brf brn brq bsh bub bud bug bul bum buu buy bvi cga chr chw cic cme cmy cnt coc cop crn ctl cua cuc cze day deg dga dgb dio dma dok don doy dsh dua duk ebi ega egn eko eng eno erk err est ewe ewo fin fon fre fua fut fye ga gbs gla gmz gnb goe gok grb gua gul guw gwo hak hal hat hau heb heh hem hmo hna hnd hol htc huc hve hya iaa iba ice ifm igb ige igs ila ind iqu irr ita ito iwa izi jab jar jmo juh juk kad kan kar kas kau kba kbw kby kch kdw kel ken ker kfe kga khm khn khs kik kil kin kir kkv kla kmu kni knk koe kom kon kos kpw kre ksg ksm ksn ktc kte ktl kwa kwn kwy kyl kzy laa lab lag lan lao lat lbu ldo leb leg lel len let lew lgi lic lin lit llm lmh lmp lmu lnd lon lou luc luo luv ma mae map mas mau may mba mbe mbi mbm mbr mbt mby mcd mcv mda mdg mdo mds mdw mea mee mga mgk mgo mgu mhu mie mkd mkq mkz mla mlg mlm mlu mmb mmv mna mnd mng moe mof mok mon moo mor mos mpr mpu mrg mro mrt msm mtb mua mum mup mur mus mut mwe mwo mxe myg myn nak nal nbe nbm ncm ndb ndi ndo ndt ndu ndy neh ngb ngd ngm ngo ngu ngw ngz nhm nhn nht nke nkn nko nne nng non noo nor nse nto nua nun nup nza obg obo ocu olo one ora otr paa pal pam pat pau per pga pkn plg plh plk pms png pnu pog poh pol por pre psw pul pur rag rga rim rny rom ron rot rru rsu rus sah sak sal san sap scr sea sed ses sgb sgl sgu sha shl shm shn sht sio sir sis skm sku sle slo sno sob son spa srd sre ssa sti stn sud sul sun swa swe tab taf tal tan tbw teo tep ter tet tgk tgn tha tia tid tiv tiw tki tla tmm tmn tmr tne tnk toz tpr trm ttd ttn tum txj ukr uld uli ura url urt ven vie vnm wal wch wlf wma wol wrk wrm wrn wry wwa xam xar xbi xho xoo yao yay ycn yin yng yor yuk yul zan zch zhn zpr zqs zul,488,76475,0.0063811704
46A,Indefinite Pronouns,,46,Martin Haspelmath. 2013. Indefinite Pronouns. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/46),2,abu aeg ame aml amp ano bab bag bak bam bud cic dgb doy eng err ewe fon fre fue gam gol hau ibi ilo ind iri irq ita kan kat kfe kji klq kob kse kwr kya kyk lan lav lel lgu lug mal may mbi mby mde mgu mis mle mlt mrg msh nbd ndb niu nko nti nto orh orl pal pms prs qia sam san see sla som sum swa tid tis tms tmu tru tur tvl usa yap yor,85,76475,0.0011114744
8A,Lateral Consonants,,8,Ian Maddieson. 2013. Lateral Consonants. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/8),2,abi abk acm aea aeg agh aiz alb ald alw ame amh amo amp amz ana anc ao arm arp ata awn aym aze bag bai baj bam baw bbf bco bee bej ben ber bet bir bis bki bkr bma bng bod bra brb brd bre brh brm brw bsk bsq bto bua bul bur byu cac cah cam cay cha che chl chq chu chv chw cil cle cnl cnt cso cti ctl dan dar ddf dgb dgr die din dio diy diz djp dni dnw don doy dre dts dum dyi eng eve evn ewe ewo fij fin fre ful fur fuz fye ga ger ghb gla gmb goo grb grk grr gua gwa hak hau haw hba hin hmo hmr htc hun hve iba igb ign igs ijo ik imo ind ing ird irx iso ito iva jak jaq jav jeb jeh jng juh kad kas kay kch ked kef kek ker kfe kgi kgu kgz kha khr khs kkn kkv klm klv kly kmp kmu knd knm knr kob koi kom kor kot koy kpe krd kro kry kse ksg kss ktk kty kul kun kur kwa kws kya kyl kzy lad lah lak lan lat lav len lep lez lkk lkt llm lu lua lui luo maa mab mal map mar mau maz mba mbb mbm mei mgg mie mku mla mlk mme mnc mnd mne mog mpa mrl mrn mro mrt mss mum mun mxc mxm mya myi mzc nai nan nap nar nax nbk ndt ndy nep new nga ngi nhn nis niv nkt nnc nob non nor nti ntu nug nun nyg nyi ogb oji ond orh orm otm pac pae pec phl pit pms poa poh pol prs psm pso puk pur qaw qco ram rom rsc ruk rus rut sab san sba scs sdh seb sed sel sha skp slp sml snd snh som soq sor spa sre sui sup svs swa tab tag tam tas tel tgr tha tib tiw tks tlp tma tmn tmp tne toa tok tol ton try tsg ttn tug tuk tul tun tur tuv tza umb una ung uzn vie wah wam wap wch wdo wlf wma wmu woi wrd wrs wry wuc xoo yan yap yaq yay yct yel yes yid yim yko yny yor ytu yul yus zqc,388,76475,0.0050735534
55A,Numeral Classifiers,,55,David Gil. 2013. Numeral Classifiers. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/55),1,abk abo aco aeg agw ako ala alb amb ame amh ami amk aml amr apu ara arb arm aro ata atk ava awt bae bgv brh brl bsq bul bur but cap cba cct cha chc chi chk chv cin cjo cku cnl coo cpn cre ctm cul cyv dat den dga diz dji dre drg dum dyi eng epe err eve fij fin fma fre fur fut gaa gav gdf geo ger gnn goo grr gua hau haw heb hin hix hpd hua hzb iaa igb ika imo ing irq jam jaq jiv jmm juh kat kch kew kfe kha kho kio kiw kku klm klt kmb knd knr knu kob koi kot kpe krf krk kut kzy lan lat lda let lez lim lkt luc lug lui luo maa mal map mar mau mbg mde mdk mdn mee mhi mis mit miy mkw mli mlk mll mne moe mos mrg mrt msc mss msy mup muu mxc myi mym nah nai naj nar nas nav nbd ndy ngi ngy ngz nht ntu nug nyu ood orh ori pau pba pip pir pno pnr prc prh put pwn qcu qhu qim qui rap rcp rru ruk rus sal sdw see ses shk shs siu snc snh snt sue sul sup swa swt syu tag taw tgh tim tiw tkl tla tlf tll tmr tnn tob tol ton tps trn tso tun tuv uhi ung ura wap war was wem wgl win wor wrn xam xoo yes yid yim yko ymi yng yor yuc yuk ywl zul zun,260,76475,0.0033998038
37A,Definite Articles,,37,Matthew S. Dryer. 2013. Definite Articles. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/37),3,aar acl ady aeg agc alb amr ams anj apw arg arj arm arq arw asy ats avk bej bkr bla blt brn chi cmx ddj din dio dsh gah gam git gmz gnd gud hai heb hid hnd ice igs ijo kab kni knk knm knw kop kpo krd kyq lag lar lgt mbr mde mdn mko mno moe moo msl mui mur naj nan nmb noo nor nrg ong oya per pkt rom sdw seb som ssa sup swe tan tma tne tpn tte uby wrd yin yng zya,92,76475,0.0012030075
114A,Subtypes of Asymmetric Standard Negation,,114,Matti Miestamo. 2013. Subtypes of Asymmetric Standard Negation. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/114),1,acm ana apl arm bae car dni eve fij fin ham heb hix hve ika ina irq kha khr kro lew maa mak mao mnd nad nah nbd ntu pit qui sel snt sue wao war win wra yar,40,76475,0.00052304677
38A,Indefinite Articles,,38,Matthew S. Dryer. 2013. Indefinite Articles. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/38),1,abu alb ame amq anj anu arm aro arp arq arw bik bil bir blt bre bya ceb cem cop did dio dsh duk dut eng err ewe fon fri fut fye ga gul gwa hau haw hun iaa jms jpn juh juk kau kkt knr kob kyk lel lkt llm lmg luo mae mao mgg miy mok mup nab nbd ngz nia nif nkn nph nua pdp pip poh qia qui ram rov run sam sdw sio sir sis slb squ sup taf taj tau tgk tha tik tla tng tnk tou tvl tzu wah wlf wsk yap yaq zag,102,76475,0.0013337692
12A,Syllable Structure,,12,Ian Maddieson. 2013. Syllable Structure. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/12),2,aco agh aik ain akn akw ald ame amh amo amp amu ani ant ao arb arp asm awn aym aze bag bai baj baw bee ber bet bir bis bkr bng bod brm byu cac cad car cax cck cha che chp cil cle cmn cnt cre cti ctl dad dag dan dar ddf der det dgb din diy dni dnw don dre dyi efi eja epe eve ewe ewo fef fin fur fuz fye ga gan gar gds gla gmb goo grr grw hak hau hix hmo hmr hok htc hve hzb iaa iba igs ika irq irr irx iso ito iva jak jaq jeb jng jom jpn jpr kad kal kay kch ked kef ker kfe kgu kho khr kio kkv klv kmp kng knk knm knr koa kob kom kor kpe krb kro ksg kss kty kul kun kwo kya kyl lah lan lav len lkk lu lua lug luo maa mal map max mbb mei mgg mla mnd mne mrd mrl mro mrt mss mum mun mya mzc nai nan nar nav ndt ndy new nga ngi ngz nhn nht nko nnc nob nug nyg nyi ogb orh pac pai paw pec phl pit pms pnr poa puk pur ram res ruk sdw sed sha shi shk shs skp sla sml snm som sor spa sui sup tag tam tel ter tgk tgr tha tib tiw tma tmn tok tol ton tru try tsg tur una ung urk usa vie wah wam war wch win wma wmu wnt woi wps wrs xoo yag yap yaq yaw yay ycn yes yey yid yim yko yny yul yus zul zun,274,76475,0.0035828701
